id,title,type,address,city,zip,lat,lon,date,starttime,organizer,organizer_url,link,hide,
17,Volunteers For Bernie -- Greenville Planning Meeting,CW,Hughes Main Library 25 Heritage Green Place Greenville SC ,SC,NONE,34.856735,-82.402153,8/8/2015,10:00 AM,South Carolina for Bernie Sanders 2016,http://www.meetup.com/South-Carolina-for-Bernie-Sanders-2016,http://www.meetup.com/South-Carolina-for-Bernie-Sanders-2016/events/224172447/,,
18,William K. Schmidt on Making Sense Of The GOP Presidential Field,E,"Queens Pride House 76-11 37th Avenue, Suite 206 Jackson Heights NY ",NY,NONE,40.749218,-73.889702,8/8/2015,10:00 AM,NYC/Long Island Rand Paul For President 2016 Meetup,http://www.meetup.com/RandPaul2016,http://www.meetup.com/RandPaul2016/events/224084960/,,
19,William K. Schmidt on Making Sense Of The GOP Presidential Field,,"Queens Pride House 76-11 37th Avenue, Suite 206 Jackson Heights NY ",NY,NONE,40.749218,-73.889702,8/8/2015,10:00 AM,Stonewall Libertarians New York,http://www.meetup.com/StonewallLibertarians,http://www.meetup.com/StonewallLibertarians/events/224084926/,Y,
20,William K. Schmidt on Making Sense Of The GOP Presidential Field,,"Queens Pride House 76-11 37th Avenue, Suite 206 Jackson Heights NY ",NY,NONE,40.749218,-73.889702,8/8/2015,10:00 AM,"Libertarian Party Of Queens County (Founded October 6, 1994)",http://www.meetup.com/QueensLP,http://www.meetup.com/QueensLP/events/220443511/,Y,
21,CHALK the BLOCK for Bernie,E,EVERYWHERE!! Maryland Howard Co. and beyond MD ,MD,NONE,39.20999908,-76.87999725,8/8/2015,12:00 PM,Maryland Suburbs for Bernie Sanders,http://www.meetup.com/Maryland-Suburbs-for-Bernie-Sanders,http://www.meetup.com/Maryland-Suburbs-for-Bernie-Sanders/events/223907618/,Y,
22,"Activity Day, Arts&Crafts for Bernie Signs and Posters!",CW,Bee Ridge Park On the corner of Wilkinson and Lockwood Ridge (Message me if you need further directions) Sarasota FL ,FL,NONE,27.338881,-82.539627,8/8/2015,1:00 PM,Bernie Sanders Movement For The People,http://www.meetup.com/Bernie-Sanders-Meetup,http://www.meetup.com/Bernie-Sanders-Meetup/events/223987800/,,
23,Canvassing Booth at the Carytown Watermelon Festival!,CW,Carytown Watermelon Festival Carytown Richmond VA 23218 ,VA,23218,37.552054,-77.480235,8/9/2015,7:00 AM,Virginians for Bernie Sanders 2016,http://www.meetup.com/Virginians-for-Bernie-Sanders-2016,http://www.meetup.com/Virginians-for-Bernie-Sanders-2016/events/224311823/,,
24,Voter Targeting for Bernie meetup,CW,4th Avenue Pub 76 4th Avenue Brooklyn NY 11217 ,NY,11217,40.682255,-73.979982,8/11/2015,7:00 PM,BERNIE SANDERS FOR PRESIDENT 2016,http://www.meetup.com/BERNIE-SANDERS-FOR-PRESIDENT-2016,http://www.meetup.com/BERNIE-SANDERS-FOR-PRESIDENT-2016/events/224359936/,,
25,Elect Bernie Sanders Dinner/Discussion,E,,NONE,NONE,35.88999939,-78.63999939,8/12/2015,6:30 PM,Elect Bernie Sanders for President Dinner-Discussion Group,http://www.meetup.com/Elect-Bernie-Sanders-Dinner-Discussion-Meetup,http://www.meetup.com/Elect-Bernie-Sanders-Dinner-Discussion-Meetup/events/223201288/,,
26,Beers For Bernie,E,Ballast Point Tasting Room & Kitchen 2215 India St San Diego ,NONE,NONE,32.727638,-117.169952,8/12/2015,7:00 PM,San Diego  For Bernie Sanders 2016,http://www.meetup.com/San-Diego-For-Bernie-Sanders-2016,http://www.meetup.com/San-Diego-For-Bernie-Sanders-2016/events/224278401/,,
27,Multnomah County Democrats General Meeting,CW,"Multnomah County Democrats Headquarters 3551 NE Sandy Blvd., Portland, Oregon Portland OR ",OR,NONE,45.49000168,-122.5999985,8/13/2015,7:00 PM,Portland Bernie Sanders 2016,http://www.meetup.com/Portland-Bernie-Sanders-2016,http://www.meetup.com/Portland-Bernie-Sanders-2016/events/223990439/,,
28,August - Orange County for Bernie House Party ,E,"Private Residence in Placentia, CA     Email OC4Bernie@gmail for Address Placentia CA ",CA,NONE,33.871132,-117.861038,8/16/2015,2:00 PM,Orange County Politics - OC for Bernie Sanders,http://www.meetup.com/OC-for-Bernie-Sanders,http://www.meetup.com/OC-for-Bernie-Sanders/events/224180816/,,
29,LEARN how to GET BERNIE on the BALLOT in VA-Conference call/Webinar,CW,YOUR HOME 12345 your phone + computer way VIRGINIA VA ,VA,NONE,37.54000092,-77.44000244,8/16/2015,7:00 PM,Virginians for Bernie Sanders 2016,http://www.meetup.com/Virginians-for-Bernie-Sanders-2016,http://www.meetup.com/Virginians-for-Bernie-Sanders-2016/events/224332786/,,
30,Volunteers For Bernie -- Greenville Planning Meeting,CW,Hughes Main Library 25 Heritage Green Place Greenville SC ,SC,NONE,34.856735,-82.402153,8/22/2015,10:00 AM,South Carolina for Bernie Sanders 2016,http://www.meetup.com/South-Carolina-for-Bernie-Sanders-2016,http://www.meetup.com/South-Carolina-for-Bernie-Sanders-2016/events/224240059/,,
31,Growing Our Political Revolution Bernie Sanders for President Organizing Meeting,CW,,NONE,NONE,43.06999969,-89.37999725,8/26/2015,7:00 PM,Wisconsin for Bernie Sanders 2016,http://www.meetup.com/WisconsinforBernie,http://www.meetup.com/WisconsinforBernie/events/223893039/,,
32,"House Party in the Fall, when people are back from vacations",E,Becker Homestead South Berwick ME 03908 ,ME,03908,43.232281,-70.808502,9/26/2015,12:00 PM,Bernie Sanders Campaign Volunteers,http://www.berniesanders.com,https://go.berniesanders.com/page/event/detail/petitioning/4jgy9,,
33,Blitzing for Bernie at the Bremerton Blackberry Festival,CW,Bremerton WA Bremerton WA 98377 ,WA,98377,46.491283,-121.632484,9/5/2015,11:03 PM,Bernie Sanders Campaign Volunteers,http://www.berniesanders.com,https://go.berniesanders.com/page/event/detail/petitioning/4jgb8,,
34,August Orlando wants Bernie meet-up,E,Herndon Branch Library Orlando FL 32803 ,FL,32803,28.553377,-81.332466,8/29/2015,3:00 PM,Bernie Sanders Campaign Volunteers,http://www.berniesanders.com,https://go.berniesanders.com/page/event/detail/petitioning/4jgy7,,
35,"BERNIE 2016.......PLANNING MEETING for "" GO RIVERSIDE !""",CW,Probably Clubhouse in pool area at VillaVictoria Riverside CA 92506 ,CA,92506,33.945213,-117.37281,8/19/2015,7:00 PM,Bernie Sanders Campaign Volunteers,http://www.berniesanders.com,https://go.berniesanders.com/page/event/detail/petitioning/4jgdg,,
36,Cape Cod For Bernie Sanders,E,Goodwill Park East Falmouth MA 02536 ,MA,02536,41.571999,-70.605927,8/16/2015,2:00 PM,Bernie Sanders Campaign Volunteers,http://www.berniesanders.com,https://go.berniesanders.com/page/event/detail/petitioning/4jgyz,,
37,Leaflet & Voter Registration in Pittsburgh's African American Community,CW,East Liberty Presbyterian Church Pittsburgh PA 15206 ,PA,15206,40.461422,-79.924835,8/15/2015,12:00 PM,Bernie Sanders Campaign Volunteers,http://www.berniesanders.com,https://go.berniesanders.com/page/event/detail/petitioning/4jgy5,,
38,Artwalk 4 Bernie,E,Lobby Gallery Los Angeles CA 90014 ,CA,90014,34.04401,-118.252777,8/13/2015,6:00 PM,Bernie Sanders Campaign Volunteers,http://www.berniesanders.com,https://go.berniesanders.com/page/event/detail/petitioning/4jgyq,,
39,Newbies for Bernie - Ann Arbor NW (Maple and Dexter area),E,John Bolz Ann Arbor MI 48103 ,MI,48103,42.285763,-83.784538,8/12/2015,6:30 PM,Bernie Sanders Campaign Volunteers,http://www.berniesanders.com,https://go.berniesanders.com/page/event/detail/petitioning/4jg8g,,
40,"Village of Kensington ""Rally for Bernie""",CW,Kensington Village Meriden CT 06451 ,CT,06451,41.553192,-72.810204,8/10/2015,6:00 PM,Bernie Sanders Campaign Volunteers,http://www.berniesanders.com,https://go.berniesanders.com/page/event/detail/petitioning/4jgyd,,
41,Portland Rally with Bernie Sanders on 8/9,R,Veterans Memorial Coliseum Portland OR 97227 ,OR,97227,45.533073,-122.670166,8/9/2015,6:00 PM,Bernie Sanders Campaign Volunteers,http://www.berniesanders.com,https://go.berniesanders.com/page/event/detail/rally/4jgdq,,
42,Tabling/non-tabling at Florida Mall,CW,Florida Mall Orlando FL 32809 ,FL,32809,28.449785,-81.400848,8/9/2015,11:00 AM,Bernie Sanders Campaign Volunteers,http://www.berniesanders.com,https://go.berniesanders.com/page/event/detail/petitioning/4jgyx,,
43,Seattle Rally with Bernie Sanders on 8/8,R,Alaska Airlines Arena at Hec Edmundson Pavilion Seattle WA 98105 ,WA,98105,47.651947,-122.303314,8/8/2015,6:00 PM,Bernie Sanders Campaign Volunteers,http://www.berniesanders.com,https://go.berniesanders.com/page/event/detail/rally/4jgdl,,
44,Arvadans for Bernie,CW,Anne's house Arvada CO 80004 ,CO,80004,39.806545,-105.146889,8/6/2015,7:00 PM,Bernie Sanders Campaign Volunteers,http://www.berniesanders.com,https://go.berniesanders.com/page/event/detail/petitioning/4jgyk,,
45,"The Political Revolution Ground Game for Bennington, Vermont to Elect Bernie",CW,Bennington Free Library Bennington VT 05201 ,VT,05201,42.878002,-73.193771,8/6/2015,7:00 PM,Bernie Sanders Campaign Volunteers,http://www.berniesanders.com,https://go.berniesanders.com/page/event/detail/petitioning/4jgy2,,
46,Follow up to last evening,CW,Wildflower Village Coffee Shop and Cabaret Reno NV 89523 ,NV,89523,39.544483,-119.950928,8/6/2015,7:00 PM,Bernie Sanders Campaign Volunteers,http://www.berniesanders.com,https://go.berniesanders.com/page/event/detail/petitioning/4jgyh,,
47,Valley Junction Farmers Market Canvassing,CW,Valley Junction Farmers Market West Des Moines IA 50265 ,IA,50265,41.569523,-93.708878,8/6/2015,4:00 PM,Bernie Sanders Campaign Volunteers,http://www.berniesanders.com,https://go.berniesanders.com/page/event/detail/petitioning/4jgdt,,
48,Central Oregon for Sanders Organizing Rally,CW,Volcanic Theatre Pub Bend OR 97701 ,OR,97701,44.050663,-121.331848,8/5/2015,7:00 PM,Bernie Sanders Campaign Volunteers,http://www.berniesanders.com,https://go.berniesanders.com/page/event/detail/petitioning/4jgdr,,
49,"Meet and Greet ""Diverse Communities of Philadelphians Working for Bernie Sanders""",E,The Rotunda Philadelphia PA 19143 ,PA,19143,39.954323,-75.20443,8/3/2015,6:00 PM,Bernie Sanders Campaign Volunteers,http://www.berniesanders.com,https://go.berniesanders.com/page/event/detail/petitioning/4jgym,,
50,Bernie Sanders For President,,The White House 1600 Pennsylvania Ave NW Washington DC 20500,DC,20500,38.89724129,-77.0356926,1/3/2017,10:00 AM,,,http://www.facebook.com/912572692117140,Y,
51,Write a Letter to the Editor Supporting Bernie Sanders,E,Your local paper,NONE,,,,11/8/2016,,,,http://www.facebook.com/498044870343158,Y,
52,Elect Bernie Sanders President,,,NONE,,,,9/30/2016,,,,http://www.facebook.com/451237041699435,Y,
53,Vote for Bernie Sanders in the 2016 Primary!,,New York    ,,,43,-75,4/19/2016,4:00 AM,New York for Bernie Sanders 2016,http://www.facebook.com/812486065513272,http://www.facebook.com/719827371456357,Y,
54,Get out The Primary Vote For Bernie Sanders 2016,,Michigan    ,,,43.3504,-84.5603,3/8/2016,7:00 AM,,,http://www.facebook.com/1591132684506173,Y,
55,Mainers Vote for Bernie Sanders,,This is just a reminder :),NONE,,,,3/6/2016,,,,http://www.facebook.com/882177081855258,Y,
56,Vote Bernie Sanders - North Carolina Presidential Primary,,Your polling place,NONE,,,,2/23/2016,8:00 AM,,,http://www.facebook.com/1008254579194460,Y,
57,"Like my page, Independents Registering as Democrats to Nominate Bernie Sanders",CW,"Shell Beach, CA  Shell Beach CA ",CA,,35.15289593,-120.6696672,1/1/2016,,,,http://www.facebook.com/1618490048385334,Y,
58,Students for Bernie Sanders Rally!,E,Henry M. Jackson Federal Building 915 2nd Ave Seattle WA 98104,WA,98104,47.6044,-122.3354,11/5/2015,,,,http://www.facebook.com/1639918879559516,,
59,Comics Love Bernie: A Benefit for Bernie Sanders,E,Broadway Comedy Club 318 West 53rd St New York NY 10010,NY,10010,40.7644005,-73.9856491,9/24/2015,7:00 PM,,,http://www.facebook.com/1608170499452268,,
60,Backyard BBQ for Senator Bernie Sanders Supporters,E,59 WINDSOR ST ENFIELD CT,NONE,,,,8/29/2015,3:00 PM,Nutmeggers for Bernie Sanders,http://www.facebook.com/1654680828086577,http://www.facebook.com/869610149797782,,
61,Queens for Bernie Sanders meetup,E,Bohemian Hall & Beer Garden 29-19 24th Ave Astoria NY 11102,NY,11102,40.7730026,-73.9161606,8/26/2015,7:00 PM,Queens For Bernie Sanders,http://www.facebook.com/846572898758427,http://www.facebook.com/1602328463375237,,
62,"Athens for Bernie Sanders March in the ""Grande Parade"" at The Parade of the Hills Festival in Nelsonville",E,Kroger Nelsonville Ohio Nelsonville OH 45764,OH,45764,39.46689736,-82.2295667,8/22/2015,3:30 PM,,,http://www.facebook.com/101642600187419,,
63,"The Bernie Sanders Presidential Campaign: Discussion, Analysis and Debate",E,"University Heights Public Library, 13866 Cedar Rd., University       Heights, Ohio 44118",NONE,,,,8/22/2015,10:00 AM,,,http://www.facebook.com/814967461955874,,
64,Weekends for Bernie - Artist Showcase to Benefit the Presidential Bid of Senator Bernie Sanders,E,The Pocket Theater 8312 Greenwood Ave N Seattle WA 98103,WA,98103,47.6896019,-122.3549423,8/16/2015,7:00 PM,,,http://www.facebook.com/1594019370873311,,
65,Bands for Bernie-Fundraiser for Bernie Sanders national campaign,E,"Eagles Bar Upstairs-Bozeman,MT",NONE,,,,8/16/2015,7:00 PM,Montanans for Bernie Sanders,http://www.facebook.com/1073373716010293,http://www.facebook.com/471917959634662,,
66,JAM FOR BERNIE | Bernie Sanders for President 2016,E,Papa Petes 502 S Burdick St Kalamazoo MI 49007,MI,49007,42.28736215,-85.58342635,8/15/2015,5:00 PM,,,http://www.facebook.com/1007410292625114,,
67,"Join Senator Bernie Sanders in Seattle to Celebrate Social Security, Medicare, & Medicaid",E,Westlake Park 400 Pine St Seattle WA 98101,WA,98101,47.6118813,-122.3372879,8/8/2015,1:00 PM,,,http://www.facebook.com/928930887167727,Y,
68,$5 Friday for Bernie Sanders 2016,,Everywhere via ActBlue,NONE,,,,8/7/2015,11:05 PM,,,http://www.facebook.com/573503509457326,Y,
69,Bernie Sanders & Russ Feingold Fundraiser,E,Kettle of Fish 59 Christopher St Frnt 2 New York NY 10014-3505,NY,10014,40.7337914,-74.0024872,8/5/2015,6:00 PM,,,http://www.facebook.com/1693966624159434,,
70,Portland Rally,,Veterans Memorial Coliseum 300 North Winning Way Portland OR 97227,OR,97227,45.53222222,-122.6694444,8/9/2015,6:00 PM,,,http://www.facebook.com/1000401753332792,Y,
71,Seattle Rally,,Alaska Airlines Arena at Hec Ed 3870 Montlake Blvd Seattle WA 98195,WA,98195,47.6521606,-122.3021011,8/8/2015,6:00 PM,,,http://www.facebook.com/1616454648605398,Y,
72,Democratic Party Presidential Primary,E,Connecticut    ,,,41.6,-72.7,4/26/2016,,,,http://www.facebook.com/379426298913484,,
73,Drinking Liberally Windsor - Bernie Talk,E,Union Street Tavern 20 Union St Windsor CT 06095,CT,06095,41.8529587,-72.6429291,9/1/2015,7:30 PM,,,http://www.facebook.com/1465817443738085,,
74,The Fight for Independence in Puerto Rico,E,"Carriage House Theatre 360 Farmington Ave, Hartford CT 06105 Hartford CT 06105",CT,06105,41.76824869,-72.70116116,8/21/2015,7:00 PM,,,http://www.facebook.com/1384923275140283,,
75,Middletown Music Festival,E,Middlesex Community College 100 Training Hill Rd Middletown CT 06457,CT,06457,41.53933031,-72.61109029,8/8/2015,1:00 PM,,,http://www.facebook.com/1617132985241857,,
76,BERNIE FEST 2015,E,Hideout Inn 1354 W Wabansia Ave Chicago IL 60642,IL,60642,41.9138718,-87.6625366,8/23/2015,11:00 AM,The People For Bernie Sanders 2016,http://www.facebook.com/1645816202305254,http://www.facebook.com/468220966669709,,
77,"Vote for Bernie Sanders on Virginia's Presidential Democratic Primary - March 1, 2016",E,Your local polling place,NONE,,,,3/1/2016,6:00 AM,Bernie Sanders for President - Virginia,http://www.facebook.com/639570869506733,http://www.facebook.com/406029712920995,,
78,Chalk the Block with Bernie Day,,Everywhere ,NONE,,,,8/8/2015,12:00 AM,Grassroots for Sanders,http://www.facebook.com/370653396465520,http://www.facebook.com/835545563198517,Y,
79,Car pools / buses / signage for Columbus Worker's Rally to Defend the American Dream,CW,"218 West St Columbus, OH (McFerson Commons Park)",NONE,,40.131287,-82.940194,8/21/2015,9:00 AM,,,http://www.facebook.com/1634503453461352,,
80,Ohio Grassroots For Bernie Sanders March in Solidarity With The AFL-CIO Defending The American Dream,CW,"Starbucks, 339 N Front St, Columbus, Ohio 43215",NONE,,39.969264,-83.003605,8/21/2015,8:30 AM,,,http://www.facebook.com/123412494668421,,
81,Central Ohio - Announcements and Mingling,CW,"2250 N High St, Columbus, OH 43201 (Kafe Kerouac)",NONE,,40.008364,-83.010005,8/5/2015,6:00 PM,,,http://www.facebook.com/551074191710006,,
82,Planning Session and Voter Registration Training,CW,Fourth Avenue Pub 76 4th Ave Brooklyn NY 11217-1908,NY,11217-1908,40.6823196,-73.9801331,8/5/2015,7:00 PM,Brooklyn For Bernie Sanders,http://www.facebook.com/1607956296109459,http://www.facebook.com/730671220409730,,
83,GOP Watch Party,E,Jake's Saloon 206 W 23rd St New York NY 10011-2313,NY,10011-2313,40.74403,-73.9962387,8/6/2015,8:00 PM,New York City for Bernie Sanders 2016,http://www.facebook.com/446299848861804,http://www.facebook.com/1475889339377466,,
84,Campus Outreach Planning Meeting,CW,"4504 Graustark St Houston, TX 77006",NONE,,29.73258,-95.394616,8/6/2015,6:00 PM,Houstonians for Bernie Sanders 2016,http://www.facebook.com/771557776291653,http://www.facebook.com/659703407462842,,
85,Houstonians for Bernie - Regular Organizing Meeting,CW,Theo's Restaurant 812 Westheimer Rd Houston TX 77006,TX,77006,29.7449207,-95.3903122,8/5/2015,7:30 PM,Houstonians for Bernie Sanders 2016,http://www.facebook.com/771557776291653,http://www.facebook.com/943160425706109,,
86,"Bernie's Brigade - Grassroots Organizers, Monthly Meeting",CW,Prospero's Books 1800 W 39th St Kansas City MO 64111,MO,64111,39.0574799,-94.6062469,11/22/2015,,Greater Kansas City for Bernie Sanders 2016,http://www.facebook.com/1590516701201963,http://www.facebook.com/819637664817955,,
87,"Bernie's Brigade - Grassroots Organizers, Monthly Meeting",CW,Prospero's Books 1800 W 39th St Kansas City MO 64111,MO,64111,39.0574799,-94.6062469,10/25/2015,3:00 PM,Greater Kansas City for Bernie Sanders 2016,http://www.facebook.com/1590516701201963,http://www.facebook.com/857670317656619,,
88,Corinth Library Phone Bank,CW,Corinth Library 95th St Prairie Village KS 66208,KS,66208,38.98200116,-94.63086457,10/14/2015,6:00 PM,Greater Kansas City for Bernie Sanders 2016,http://www.facebook.com/1590516701201963,http://www.facebook.com/1455069648131282,,
89,Corinth Library Phone Bank,CW,Corinth Library 95th St Prairie Village KS 66208,KS,66208,38.98200116,-94.63086457,10/7/2015,6:00 PM,Greater Kansas City for Bernie Sanders 2016,http://www.facebook.com/1590516701201963,http://www.facebook.com/1419558735040837,,
90,Corinth Library Phone Bank,CW,Corinth Library 95th St Prairie Village KS 66208,KS,66208,38.98200116,-94.63086457,9/30/2015,6:00 PM,Greater Kansas City for Bernie Sanders 2016,http://www.facebook.com/1590516701201963,http://www.facebook.com/461354380690821,,
91,Bernie's Brigade - Grassroots Organizers Monthly Meeting,CW,Prospero's Books 1800 W 39th St Kansas City MO 64111,MO,64111,39.0574799,-94.6062469,9/27/2015,3:00 PM,Greater Kansas City for Bernie Sanders 2016,http://www.facebook.com/1590516701201963,http://www.facebook.com/1584169045141249,,
92,Corinth Library Phone Bank,CW,Corinth Library 95th St Prairie Village KS 66208,KS,66208,38.98200116,-94.63086457,9/23/2015,6:00 PM,Greater Kansas City for Bernie Sanders 2016,http://www.facebook.com/1590516701201963,http://www.facebook.com/919720101407017,,
93,Corinth Library Phone Bank,CW,Corinth Library 95th St Prairie Village KS 66208,KS,66208,38.98200116,-94.63086457,9/9/2015,6:00 PM,Greater Kansas City for Bernie Sanders 2016,http://www.facebook.com/1590516701201963,http://www.facebook.com/1469895816637808,,
94,"Bernie's Brigade - Grassroots Organizers, Monthly Meeting",CW,Prospero's Books 1800 W 39th St Kansas City MO 64111,MO,64111,39.0574799,-94.6062469,8/30/2015,3:00 PM,Greater Kansas City for Bernie Sanders 2016,http://www.facebook.com/1590516701201963,http://www.facebook.com/1628028990773392,,
95,Corinth Library Phone Bank,CW,Corinth Library 95th St Prairie Village KS 66208,KS,66208,38.98200116,-94.63086457,8/26/2015,6:00 PM,Greater Kansas City for Bernie Sanders 2016,http://www.facebook.com/1590516701201963,http://www.facebook.com/688087671322084,,
96,Detroit for Bernie Takes Out the Trash!,E,"19541 Crusade St, Detriot Michigan 48205",NONE,,42.440136,-82.960818,8/22/2015,9:00 AM,,,http://www.facebook.com/454399598085681,,
97,Metro Detroit Meets at HopCat,CW,Hopcat 4265 Woodward Ave Detroit MI 48201,MI,48201,42.35186471,-83.06119764,8/9/2015,2:00 PM,,,http://www.facebook.com/501766679987896,,
98,SAVE THE DATE: Illinois State Democratic Primary,E,"Your polling place, Illinois",NONE,,,,3/15/2016,7:00 AM,Illinois For Bernie Sanders,http://www.facebook.com/494207530737948,http://www.facebook.com/1482734702020166,,
99,Tigard Organizes for Bernie!,CW,Tigard Grange Hall 13770 SW Pacific Hwy Tigard OR 97223,OR,97223,45.4199791,-122.7855377,9/14/2015,7:00 PM,Oregon for Bernie Sanders 2016,http://www.facebook.com/454613448020842,http://www.facebook.com/473110949515683,,
100,Portland Rally with Bernie Sanders,,Veterans Memorial Coliseum 300 North Winning Way Portland OR 97227,OR,97227,45.53222222,-122.6694444,8/9/2015,6:00 PM,Oregon for Bernie Sanders 2016,http://www.facebook.com/454613448020842,http://www.facebook.com/414335125416315,Y,
101,Bernie Rally Poster/Flyer Promotion,CW,EVERYWHERE IN OREGON,NONE,,,,8/9/2015,,Oregon for Bernie Sanders 2016,http://www.facebook.com/454613448020842,http://www.facebook.com/1013268668713930,Y,
102,Bernie Prep Pizza Party! (Portland),E,"5247 NE 35th, Portland, OR",NONE,,45.561195,-122.628943,8/8/2015,3:30 PM,Oregon for Bernie Sanders 2016,http://www.facebook.com/454613448020842,http://www.facebook.com/893859297352503,,
103,Nationwide CHALK THE BLOCK for Bernie Sanders,,Nevada ,NONE,,,,8/8/2015,12:00 AM,Nevada for Bernie Sanders,http://www.facebook.com/363412390530212,http://www.facebook.com/1594276534158397,Y,
